Datum obchodu;Směr;Symbol;Cena;Počet;Měna;Objem;Poplatky
12.1.2022 10:15;Nákup;HOLDING-3Y;850;150;CZK;-127 540,00;40,00
15.3.2022 14:30;Nákup;FIFO;90;25;USD;-2 260,00;10,00
20.8.2022 11:00;Nákup;FIFO;110;20;USD;-2 212,00;12,00
10.11.2022 15:45;Prodej;FIFO;130;15;USD;1 940,00;10,00
14.2.2023 9:30;Prodej;SHORT;65;40;EUR;2 592,00;8,00
18.5.2023 13:20;Nákup;FIFO;120;30;USD;-3 615,00;15,00
22.9.2023 11:10;Nákup;SHORT;52;40;EUR;-2 088,00;8,00
15.11.2023 16:00;Prodej;FIFO;145;20;USD;2 890,00;10,00
20.1.2024 10:00;Prodej;SHORT;70;25;EUR;1 745,00;5,00
10.4.2024 14:00;Nákup;FIFO;135;20;USD;-2 712,00;12,00
15.6.2024 15:30;Prodej;FIFO;160;25;USD;3 988,00;12,00
15.8.2024 11:00;Nákup;SHORT;58;25;EUR;-1 456,00;6,00
20.10.2024 12:00;Nákup;USDT;1;2000;USD;-2 002,00;2,00
15.1.2025 10:15;Prodej;HOLDING-3Y;1350;100;CZK;134 940,00;60,00
20.2.2025 14:20;Prodej;FIFO;170;15;USD;2 540,00;10,00
