Datum obchodu;Směr;Symbol;Cena;Počet;Měna;Objem;Poplatky
1.8.2021 10:00;Nákup;HOLDING-3Y;900;200;CZK;-180 050,00;50,00
2.5.2021 8:45;Nákup;FIFO;100;10;USD;-1 012,00;12,00
2.8.2021 13:10;Nákup;FIFO;110;10;USD;-1 114,00;14,00
4.11.2022 15:25;Prodej;FIFO;125;12;USD;1 488,00;12,00
3.1.2023 10:00;Prodej;SHORT;55;30;EUR;1 648,00;2,00
17.6.2023 12:30;Nákup;SHORT;49;30;EUR;-1 478,00;8,00
10.4.2024 11:05;Nákup;MINERAL;30;50;EUR;-1 517,50;17,50
5.6.2024 9:10;Prodej;FIFO;150;8;USD;1 190,00;10,00
1.8.2024 10:00;Prodej;HOLDING-3Y;1200;90;CZK;107 955,00;45,00
2.8.2024 10:00;Prodej;HOLDING-3Y;1200;90;CZK;107 955,00;45,00
12.9.2024 14:20;Prodej;MINERAL;42;50;EUR;2 082,50;17,50
20.12.2024 9:00;Nákup;AKCIE-25;500;20;CZK;-10 012,50;12,50
