Datum obchodu;Směr;Symbol;Cena;Počet;Měna;Typ aktiva;Objem;Poplatky;Vyloučení z osvobození;Obchodní majetek;ID transakce;Zdroj;Peněženka;Protihodnota;Zdroj ocenění;Poznámka
12.1.2022 10:15;Nákup;HOLDING-3Y;850;150;CZK;Akcie;-127 540,00;40,00;;Ne;DEMO-001;Demo broker;;;;
15.3.2022 14:30;Nákup;FIFO;90;25;USD;Akcie;-2 260,00;10,00;;Ne;DEMO-002;Demo broker;;;;
20.8.2022 11:00;Nákup;FIFO;110;20;USD;Akcie;-2 212,00;12,00;;Ne;DEMO-003;Demo broker;;;;
10.11.2022 15:45;Prodej;FIFO;130;15;USD;Akcie;1 940,00;10,00;;Ne;DEMO-004;Demo broker;;;;
14.2.2023 9:30;Prodej;SHORT;65;40;EUR;Akcie;2 592,00;8,00;;Ne;DEMO-005;Demo broker;;;;
18.5.2023 13:20;Nákup;FIFO;120;30;USD;Akcie;-3 615,00;15,00;;Ne;DEMO-006;Demo broker;;;;
22.9.2023 11:10;Nákup;SHORT;52;40;EUR;Akcie;-2 088,00;8,00;;Ne;DEMO-007;Demo broker;;;;
15.11.2023 16:00;Prodej;FIFO;145;20;USD;Akcie;2 890,00;10,00;;Ne;DEMO-008;Demo broker;;;;
20.1.2024 10:00;Prodej;SHORT;70;25;EUR;Akcie;1 745,00;5,00;;Ne;DEMO-009;Demo broker;;;;
10.4.2024 14:00;Nákup;FIFO;135;20;USD;Akcie;-2 712,00;12,00;;Ne;DEMO-010;Demo broker;;;;
15.6.2024 15:30;Prodej;FIFO;160;25;USD;Akcie;3 988,00;12,00;;Ne;DEMO-011;Demo broker;;;;
15.8.2024 11:00;Nákup;SHORT;58;25;EUR;Akcie;-1 456,00;6,00;;Ne;DEMO-012;Demo broker;;;;
20.10.2024 12:00;Nákup;USDT;1;2000;USD;EMT;-2 000,00;0,00;;Ne;DEMO-013;Demo exchange;Demo wallet;USD;Demo exchange;
15.1.2025 10:15;Prodej;HOLDING-3Y;1350;100;CZK;Akcie;134 940,00;60,00;;Ne;DEMO-014;Demo broker;;;;
20.2.2025 14:20;Prodej;FIFO;170;15;USD;Akcie;2 540,00;10,00;;Ne;DEMO-015;Demo broker;;;;
