Datum obchodu;Směr;Symbol;Cena;Počet;Měna;Typ aktiva;Objem;Poplatky;Vyloučení z osvobození;Obchodní majetek;ID transakce;Zdroj;Peněženka;Protihodnota;Zdroj ocenění;Poznámka
15.02.2021 10:15;Nákup;VWCE;85,00;50;EUR;ETF;-4 250,00;2,00;;Ne;BROKER-001;Degiro;;;;Nákup akumulačního ETF
20.09.2022 14:00;Nákup;VWCE;95,00;30;EUR;ETF;-2 850,00;2,00;;Ne;BROKER-002;Degiro;;;;Pravidelný nákup ETF
18.03.2025 11:30;Prodej;VWCE;125,00;40;EUR;ETF;5 000,00;2,50;;Ne;BROKER-003;Degiro;;;;Prodej po více než 4 letech (splněn 3letý časový test -> osvobozeno dle § 4 ZDP)
12.04.2021 16:30;Nákup;AAPL;130,00;20;USD;Akcie;-2 600,00;1,50;;Ne;IB-001;Interactive Brokers;;;;Nákup 1. tranše AAPL
10.05.2024 15:45;Nákup;AAPL;180,00;30;USD;Akcie;-5 400,00;1,50;;Ne;IB-002;Interactive Brokers;;;;Nákup 2. tranše AAPL
25.08.2025 17:00;Prodej;AAPL;230,00;25;USD;Akcie;5 750,00;2,00;;Ne;IB-003;Interactive Brokers;;;;FIFO rozpad: 20 ks osvobozeno časovým testem, 5 ks zdanitelných
15.01.2024 09:30;Nákup;CEZ;870,00;150;CZK;Akcie;-130 500,00;150,00;;Ne;FIO-101;Fio banka;;;;Nákup dividendových akcií ČEZ
10.10.2025 11:00;Prodej;CEZ;940,00;150;CZK;Akcie;141 000,00;150,00;;Ne;FIO-102;Fio banka;;;;Prodej po 20 měsících (< 3 roky -> zdanitelný příjem § 10 ZDP)
10.10.2021 14:00;Nákup;BTC;55000,00;0,20;USD;Kryptoaktivum;-11 000,00;15,00;;Ne;KRAK-01;Kraken;Kraken cold storage;;Kraken spot;Nákup BTC pro dlouhodobé držení
20.04.2025 18:30;Prodej;BTC;85000,00;0,10;USD;Kryptoaktivum;8 500,00;10,00;;Ne;KRAK-02;Kraken;Kraken cold storage;;Kraken spot;Prodej po > 3 letech po 15.2.2025 (osvobozeno novou úpravou ZDP)
12.01.2025 13:00;Nákup;ETH;2600,00;1,50;USD;Kryptoaktivum;-3 900,00;5,00;;Ne;KRAK-03;Kraken;Kraken custody;;Kraken spot;Krátkodobý nákup ETH
14.05.2025 16:15;Prodej;ETH;3100,00;1,50;USD;Kryptoaktivum;4 650,00;5,00;;Ne;KRAK-04;Kraken;Kraken custody;;Kraken spot;Prodej se ziskem po 4 měsících (< 3 roky -> zdanitelný příjem § 10)
01.06.2025 09:00;Nákup;USDT;1,00;2000;USD;EMT;-2 000,00;2,00;;Ne;0xusdt-buy;Kraken;0xwallet;USD;Kraken spot;Nákup elektronického peněžního tokenu
15.06.2025 14:00;Prodej;USDT;1,00;2000;USD;EMT;2 000,00;3,00;;Ne;0xdex-swap;Uniswap;0xwallet;SOL;Uniswap;DEX swap USDT za SOL (EMT nepodléhá osvobození)
15.06.2025 14:00;Nákup;SOL;150,00;13,31;USD;Kryptoaktivum;-1 997,00;0,00;;Ne;0xdex-swap;Uniswap;0xwallet;USDT;Uniswap;DEX swap USDT za SOL – pořízení nového kryptoaktiva
